phi,x_h2,T_ad,CO2,H2O,CO,NO,NO2,OH,H2,O2
1.025,0.4,2257.398542880993,0.06974577696761819,0.20868841814735575,0.011583394957414494,0.0015702375895241573,2.161818827262569e-07,0.003071914201955941,0.006345046288476943,0.002833478076912924
1.05,0.4,2257.9927832774847,0.06766423220597508,0.21058408379506766,0.015182844154119971,0.0011651304774925545,1.1909707698363242e-07,0.0026660387440352465,0.008647415347902228,0.0015643560809590438
1.0750000000000002,0.4,2251.703166305369,0.06505549474323034,0.21178321216358284,0.019247775214010075,0.0008341122535380264,6.256587013156456e-08,0.002226436290516072,0.011509744826839457,0.0008286906453889156
1.1,0.4,2240.3982881788247,0.06218696385442624,0.21236308485341143,0.02352171818825504,0.0005890031066248624,3.2555970190049194e-08,0.0018182438232989754,0.014854243793646882,0.00043681336078289665
1.125,0.4,2225.9616558603007,0.05928036608040603,0.2124386105791905,0.02779443576938812,0.00041665141430589366,1.7199345446153014e-08,0.0014709334937073372,0.01858110722411007,0.00023446445654858852
1.15,0.4,2209.7229380439717,0.05646791201604533,0.21211091610277225,0.0319420241077281,0.0002973933835621123,9.31857064716301e-09,0.0011874203624217096,0.022607498542527516,0.00012930273803607526
1.175,0.4,2192.487164411843,0.05381357447119544,0.2114558796161911,0.03590569934521411,0.00021465168577818115,5.18634718691199e-09,0.0009597164990611651,0.026872832080297556,7.333393203060062e-05
1.2000000000000002,0.4,2174.719523446333,0.05134203141502402,0.21052948370507438,0.03966394327568459,0.00015664831352073168,2.9597813425683438e-09,0.0007776134415410798,0.03133249208534104,4.267799842734523e-05
1.225,0.4,2156.689445190492,0.04905754577720888,0.20937452346638782,0.043214484556716545,0.00011547324757270866,1.727030088769766e-09,0.0006318355262551897,0.03595190948990325,2.5407322380867152e-05
1.25,0.4,2138.5561142780043,0.04695424453613043,0.20802516060279794,0.04656452970060965,8.587797485619358e-05,1.0273246923765543e-09,0.0005147777541881027,0.040702937092780125,1.5425302782716612e-05
